Марка	Серия	Полная масса [кг]	Максимальный крутящий момент [Н*м]	Мощность двигателя [л.с.]	Объем двигателя [см3]	Тип двигателя	Количество цилиндров	Тип КПП	Количество передач	Привод	Объём топливного бака [л]	Разгон до 100 км/ч [сек]	Максимальная скорость [км/ч]	Расход топлива в городе на 100 км [л]
BMW	Купе	1740	210	170	1995	Бензиновый	4	Механика	6	Задний	53	7.8	224	8.6
BMW	Купе	1860	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.1	236	7.3
BMW	Купе	1860	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.1	236	6.9
BMW	Купе	1860	400	204	1995	Дизельный	4	Автомат	6	Задний	51	7.1	236	7.3
BMW	Купе	1860	400	204	1995	Дизельный	4	Механика	6	Задний	51	7	238	6.5
BMW	Купе	1860	400	204	1995	Дизельный	4	Механика	6	Задний	51	7	238	6.5
BMW	Купе	1860	400	204	1995	Дизельный	4	Механика	6	Задний	51	7	238	6.4
BMW	Купе	1870	270	218	2996	Бензиновый	6	Автомат	6	Задний	53	7	243	11.7
BMW	Купе	1870	270	218	2996	Бензиновый	6	Автомат	6	Задний	53	7	243	11.4
BMW	Купе	1845	270	218	2996	Бензиновый	6	Механика	6	Задний	53	6.4	245	11.4
BMW	Купе	1845	270	218	2996	Бензиновый	6	Механика	6	Задний	53	6.4	245	11.9
BMW	Купе	1910	270	233	2996	Бензиновый	6	Автомат	6	Задний	53	7	209	12.4
BMW	Купе	1845	270	233	2996	Бензиновый	6	Механика	6	Задний	53	6.4	209	13.1
BMW	Купе	1935	404	305	2979	Бензиновый	6	Автомат	6	Задний	53	5.4	241	13.1
BMW	Купе	1930	400	306	2979	Бензиновый	6	Автомат	6	Задний	53	5.4	250	13.2
BMW	Купе	1910	400	306	2979	Бензиновый	6	Робот	7	Задний	53	5.2	250	11.7
BMW	Купе	1930	404	305	2979	Бензиновый	6	Механика	6	Задний	53	5.3	241	13.8
BMW	Купе	1895	400	306	2979	Бензиновый	6	Механика	6	Задний	53	5.3	250	12.1
BMW	Купе	1925	400	306	2979	Бензиновый	6	Механика	6	Задний	53	5.3	250	13
BMW	Хетчбэк 3-дв.	1820	260	115	1995	Дизельный	4	Механика	6	Задний	53	10.2	200	5.3
BMW	Хетчбэк 3-дв.	1820	260	116	1995	Дизельный	4	Механика	6	Задний	53	10.2	200	5.4
BMW	Хетчбэк 3-дв.	1760	150	115	1596	Бензиновый	4	Автомат	6	Задний	53	12.2	197	10.6
BMW	Хетчбэк 3-дв.	1780	160	122	1597	Бензиновый	4	Автомат	6	Задний	53	11.1	202	8.3
BMW	Хетчбэк 3-дв.	1780	185	122	1995	Бензиновый	4	Автомат	6	Задний	53	10.7	202	8.7
BMW	Хетчбэк 3-дв.	1735	150	115	1596	Бензиновый	4	Механика	6	Задний	53	10.8	200	10.5
BMW	Хетчбэк 3-дв.	1755	160	122	1597	Бензиновый	4	Механика	6	Задний	53	10.1	204	7.5
BMW	Хетчбэк 3-дв.	1755	185	122	1995	Бензиновый	4	Механика	6	Задний	53	9.8	204	7.9
BMW	Хетчбэк 3-дв.	1845	300	143	1995	Дизельный	4	Автомат	6	Задний	51	9	210	6.9
BMW	Хетчбэк 3-дв.	1845	300	143	1995	Дизельный	4	Автомат	6	Задний	53	9	210	6.9
BMW	Хетчбэк 3-дв.	1820	300	143	1995	Дизельный	4	Механика	6	Задний	53	8.9	210	5.4
BMW	Хетчбэк 3-дв.	1820	300	143	1995	Дизельный	4	Механика	6	Задний	53	8.9	210	5.4
BMW	Хетчбэк 3-дв.	1790	180	136	1995	Бензиновый	4	Автомат	6	Задний	53	10	204	10.7
BMW	Хетчбэк 3-дв.	1790	190	143	1995	Бензиновый	4	Автомат	6	Задний	53	9.2	210	8.7
BMW	Хетчбэк 3-дв.	1790	190	143	1995	Бензиновый	4	Автомат	6	Задний	53	9.2	210	8.2
BMW	Хетчбэк 3-дв.	1765	180	136	1995	Бензиновый	4	Механика	6	Задний	53	9.3	208	10.4
BMW	Хетчбэк 3-дв.	1765	190	143	1995	Бензиновый	4	Механика	6	Задний	53	8.7	210	7.9
BMW	Хетчбэк 3-дв.	1765	190	143	1995	Бензиновый	4	Механика	6	Задний	53	8.7	210	7.9
BMW	Хетчбэк 3-дв.	1870	350	177	1995	Дизельный	4	Автомат	6	Задний	53	7.7	226	7.2
BMW	Хетчбэк 3-дв.	1870	350	177	1995	Дизельный	4	Автомат	6	Задний	53	7.7	226	6.7
BMW	Хетчбэк 3-дв.	1870	350	177	1995	Дизельный	4	Автомат	6	Задний	53	7.7	226	7.2
BMW	Хетчбэк 3-дв.	1870	350	177	1995	Дизельный	4	Автомат	6	Задний	53	7.7	226	8.1
BMW	Хетчбэк 3-дв.	1865	350	177	1995	Дизельный	4	Механика	6	Задний	53	7.5	228	6.1
